Image_path,Real,Pred
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/150_8252.jpg,8252,8252
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/87_0826.jpg,0826,0826
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/201_4904.jpg,4904,4904
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/334_8956.jpg,8956,8956
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/30_3023.jpg,3023,3023
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/375_2797.jpg,2797,2797
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/339_2831.jpg,2831,2831
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/282_7088.jpg,7088,7088
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/58_7831.jpg,7831,7831
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/254_9028.jpg,9028,9028
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/220_7527.jpg,7527,7527
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/60_5105.jpg,5105,5105
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/55_5661.jpg,5661,5661
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/138_1630.jpg,1630,1630
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/164_6446.jpg,6446,6446
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/80_7240.jpg,7240,7240
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/210_3953.jpg,3953,3953
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/348_6549.jpg,6549,6549
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/239_1825.jpg,1825,1825
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/227_3057.jpg,3057,3057
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/21_7780.jpg,7780,7780
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/300_1144.jpg,1144,1144
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/93_5498.jpg,5498,5498
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/366_1126.jpg,1126,1126
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/88_8490.jpg,8490,8490
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/384_5318.jpg,5318,5318
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/219_2189.jpg,2189,2189
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/292_2151.jpg,2151,2151
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/134_7958.jpg,7958,7958
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/5_3615.jpg,3615,3615
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/186_0327.jpg,0327,0327
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/10_0146.jpg,0146,0146
/Users/sjhuang/Documents/docs/dataset/test/rktc.padis.net.cn/325_9962.jpg,9962,9962
