Image_path,Real,Pred
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_19_1636445013.887687.png,uac,h3mm
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_126_1636445036.5708969.png,uac,mw7m
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_172_1636445045.817184.png,uac,emww
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_139_1636445038.71019.png,uac,8ne4
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_183_1636445047.190984.png,uac,xa8h
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_187_1636445048.3040378.png,uac,eenw
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_78_1636445025.993731.png,uac,axxw
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_84_1636445026.7731972.png,uac,x7x7
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_154_1636445042.8392599.png,uac,wmnw
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_74_1636445025.50666.png,uac,wxen
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_136_1636445038.3148181.png,uac,wmw4
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_181_1636445046.931194.png,uac,4nnh
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_26_1636445015.6120808.png,uac,mxxx
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_107_1636445032.5583098.png,uac,x744
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_12_1636445012.859338.png,uac,77w8
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_130_1636445037.125334.png,uac,43ex
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_165_1636445044.96496.png,uac,h3en
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_133_1636445037.532406.png,uac,wnn4
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_122_1636445035.274857.png,uac,8mnm
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_7_1636445012.241408.png,uac,enex
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_2_1636445011.362836.png,uac,xh38
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_167_1636445045.187179.png,uac,384e
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_119_1636445034.896553.png,uac,4xew
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_65_1636445023.583534.png,uac,xn47
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_44_1636445020.929353.png,uac,xm8x
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_59_1636445022.8300211.png,uac,e87h
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_6_1636445012.134331.png,uac,mw34
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_98_1636445031.465389.png,uac,x834
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_175_1636445046.1954172.png,uac,weme
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_198_1636445049.713569.png,uac,x833
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_185_1636445048.0352.png,uac,4em4
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_85_1636445026.901396.png,uac,nn4n
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_64_1636445023.463686.png,uac,mamx
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_20_1636445014.0143209.png,uac,ahew
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_113_1636445033.3776052.png,uac,xm38
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_189_1636445048.541193.png,uac,awwx
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_128_1636445036.84725.png,uac,menx
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_87_1636445027.145919.png,uac,exxn
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_171_1636445045.679358.png,uac,34x4
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_132_1636445037.3947678.png,uac,enmn
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_76_1636445025.764271.png,uac,x47a
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_42_1636445020.643862.png,uac,8ea3
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_50_1636445021.693332.png,uac,nnwn
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_120_1636445035.024981.png,uac,axnn
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_23_1636445014.414017.png,uac,axme
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_121_1636445035.168704.png,uac,xn7n
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_11_1636445012.738174.png,uac,3em7
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_28_1636445015.878037.png,uac,e3ea
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_89_1636445027.355519.png,uac,4exa
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_18_1636445013.755388.png,uac,mxe3
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_193_1636445049.0668101.png,uac,aaxe
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_153_1636445042.706639.png,uac,mmwx
/Users/sjhuang/Documents/docs/dataset/crawlers/uac.10010.com/uac.10010.com_179_1636445046.6665149.png,uac,73nm
