Image_path,Real,Pred
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_82_1636446131.0864902.png,zxgk,i38i
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_138_1636446143.3669388.png,zxgk,crv6
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_143_1636446144.367722.png,zxgk,wkks
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_169_1636446152.893847.png,zxgk,jted
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_120_1636446139.344505.png,zxgk,84ec
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_160_1636446151.053049.png,zxgk,brkh
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_176_1636446154.3526.png,zxgk,lbgx
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_182_1636446155.659151.png,zxgk,pr44
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_27_1636446117.295458.png,zxgk,2ya8
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_124_1636446140.152521.png,zxgk,jg3l
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_12_1636446114.72258.png,zxgk,n25g
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_195_1636446158.3801112.png,zxgk,p6c2
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_8_1636446114.010006.png,zxgk,ghp2
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_123_1636446139.9408672.png,zxgk,2u8i
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_170_1636446153.081491.png,zxgk,d7kp
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_148_1636446145.3868.png,zxgk,fbug
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_25_1636446116.941488.png,zxgk,qq3
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_30_1636446117.7711732.png,zxgk,wbch
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_127_1636446140.7556312.png,zxgk,drbu
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_188_1636446156.956934.png,zxgk,mkcg
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_32_1636446118.1029031.png,zxgk,wtfs
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_92_1636446133.198532.png,zxgk,abft
/Users/sjhuang/Documents/docs/dataset/crawlers/zxgk.court.gov.cn/zxgk.court.gov.cn_2_1636446112.998825.png,zxgk,hchm
